final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
11,content_e76ac7fed711,client_3fdba35f04,80.03826423057826,random_forest,0.8344913860848154,0.6806266550510204,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1877,1,3,5.8,0.05,139,104,1420.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
12,content_b4f35d640b1c,client_3fdba35f04,80.02373644844913,random_forest,0.8395459668450042,0.6691681838287983,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3867,2,5,27.5,0.05,131,104,1389.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,good,page_3_5
13,content_aa76dcfed6e7,client_3fdba35f04,80.01828882767452,random_forest,0.8408631337702244,0.666130538897959,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2765,1,51,21.1,0.04,165,104,1341.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_3_5
14,content_1b51115391a3,client_3fdba35f04,80.00837865378081,random_forest,0.8156731795030251,0.7206743573429705,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3221,0,25,9.5,0.0,155,104,1587.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
15,content_4d76cdb3387b,client_3fdba35f04,79.86632184629083,random_forest,0.8360000709093113,0.6719927039540815,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1597,2,5,2.7,0.13,131,104,1554.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,moderate,top_3
16,content_73b70737ee63,client_3fdba35f04,79.76132245561874,random_forest,0.8214327085565836,0.7004474105827664,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2060,4,8,2.8,0.19,139,104,1410.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,top_3
17,content_20ddbdfbbd90,client_3fdba35f04,79.69769754959472,random_forest,0.79126068659123,0.7641689328472222,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,5541,8,54,11.2,0.14,148,104,1365.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
18,content_91fefd1726b3,client_3fdba35f04,79.67097640625799,random_forest,0.8328932071897052,0.6726812734421769,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2748,2,22,18.7,0.07,148,104,1516.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
19,content_6e098546a7a2,client_19581e27de,79.5752973029228,random_forest,0.7540230588121801,0.8414477200090703,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,10575,14,12,1.9,0.13,124,104,2864.0,down,MEDIUM,keyword article,informational,91-180,91-180,2000-3500,good,top_3
20,content_03475a5923fe,client_3fdba35f04,79.54730719802427,random_forest,0.8155611006378585,0.7065755426411563,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2419,3,27,6.2,0.12,139,104,1205.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
21,content_81e59177b59a,client_19581e27de,79.5374337255697,random_forest,0.7700945724864886,0.80527352780839,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,9239,3,20,5.6,0.03,139,104,4001.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
22,content_e9b83bea7976,client_3fdba35f04,79.39610681836604,random_forest,0.7488700170089662,0.8470944649778911,high,refresh_and_review_ctr,low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,0,15616,9,93,8.8,0.06,165,104,1316.0,stable,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_1
23,content_d9eb4a8986e7,client_3fdba35f04,79.35062265231197,random_forest,0.8292734321692169,0.6705980065034014,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3382,4,30,24.5,0.12,165,104,1367.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
24,content_e23e08154491,client_3fdba35f04,79.3333843219948,random_forest,0.8033966108870046,0.726409542414966,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3029,8,30,6.5,0.26,139,104,1558.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
25,content_e4c789b3ac31,client_3fdba35f04,79.31604280374583,random_forest,0.7837625162012286,0.7686240894183674,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,4066,21,30,2.8,0.52,131,104,1497.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,good,top_3
26,content_252c884e4400,client_7f2253d7e2,79.21608393902102,random_forest,0.8359304957522764,0.651916803276644,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22537,82,88,15.9,0.36,147,20,4096.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
27,content_d086e01b904b,client_3fdba35f04,79.11644559197805,random_forest,0.7923848575934997,0.74363959763322,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3385,6,11,5.1,0.18,139,104,1399.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
28,content_3e5ea1d9ee75,client_3fdba35f04,79.10768687827651,random_forest,0.8289703057964576,0.6637009036666666,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2870,0,34,22.1,0.0,124,104,1544.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
29,content_a451a30f3920,client_19581e27de,79.08131267965555,random_forest,0.7533763153934464,0.8274893052664398,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,11926,5,13,4.4,0.04,139,104,4028.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
30,content_972b37f0c86d,client_19581e27de,78.98172233308327,random_forest,0.7403817643193836,0.8526874173151927,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,27437,19,33,7.2,0.07,139,104,4074.0,down,LOW,keyword article,commercial,91-180,91-180,3500+,good,page_1
31,content_964dd0100c99,client_7f2253d7e2,78.9247596771416,random_forest,0.8389365546345436,0.636308566989796,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,41078,38,45,22.2,0.09,141,20,4320.0,down,LOW,keyword article,informational,91-180,0-30,3500+,excellent,page_3_5
32,content_b74291f8efd2,client_3fdba35f04,78.92080803270272,random_forest,0.8108162108533213,0.6974187782312924,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3194,2,4,15.9,0.06,124,104,1448.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
33,content_e88c269d36d5,client_3fdba35f04,78.90832036901959,random_forest,0.8237473095266052,0.6688723475493197,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2099,1,120,12.4,0.05,144,104,1486.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
34,content_184165640010,client_3fdba35f04,78.79176623592556,random_forest,0.8261232999097394,0.6600728058954082,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3967,3,24,29.9,0.08,165,104,1551.0,down,HIGH,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
35,content_5195668f06db,client_19581e27de,78.7638238521084,random_forest,0.7554847538900562,0.8130217527777778,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6635,0,10,5.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,good,page_1
36,content_bd6fe8d9dc9f,client_3fdba35f04,78.76149935758525,random_forest,0.7912367819923809,0.7350980170975057,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3263,8,26,6.4,0.25,139,104,1421.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,good,page_1
37,content_fb372b1383b1,client_3fdba35f04,78.75489382255999,random_forest,0.7942508788012614,0.7283292215714284,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3600,5,40,10.1,0.14,124,104,1580.0,down,LOW,keyword article,commercial,91-180,91-180,1000-2000,good,striking
38,content_69cfaabeda16,client_7f2253d7e2,78.74995404326063,random_forest,0.8413166029927137,0.6256881189484127,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,17695,64,103,19.2,0.36,225,20,4175.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
39,content_e4a481bafa74,client_19581e27de,78.6944973180092,random_forest,0.8166878137270299,0.6775931305839002,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1547,0,4,2.2,0.0,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,moderate,top_3
40,content_c65ee459f729,client_f369cb89fc,78.68875747467186,random_forest,0.7682242199725002,0.7829459298690477,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6526,0,16,17.4,0.0,106,106,2898.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,striking
41,content_5c44b0fda035,client_7f2253d7e2,78.68771919334246,random_forest,0.8469964882368991,0.6113839660204081,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,21928,37,39,24.4,0.17,141,20,3740.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
42,content_2d6bc8e57b4c,client_3fdba35f04,78.68752301852268,random_forest,0.808466121581787,0.6952792292993196,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3016,4,23,15.4,0.13,155,104,1349.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,striking
43,content_b08562686d22,client_f369cb89fc,78.65214344156915,random_forest,0.7729763476138397,0.7714590096428571,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2846,4,5,2.0,0.14,106,106,2900.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,top_3
44,content_73f3a3c5e203,client_3fdba35f04,78.639941602898,random_forest,0.8342488110558375,0.6376562760816327,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2104,3,50,21.8,0.14,174,104,1434.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
45,content_04f9c8cfb061,client_3fdba35f04,78.61756466486722,random_forest,0.8102549055689778,0.6892078396683673,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1914,2,2,3.5,0.1,131,104,1531.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_1
46,content_021bc08109a8,client_3fdba35f04,78.5809057593351,random_forest,0.8173157614252196,0.6726921784501134,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1818,2,22,7.1,0.11,310,104,1474.0,down,MEDIUM,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
47,content_750142aace28,client_3fdba35f04,78.50309843100115,random_forest,0.8202173558691329,0.6639534374263037,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3031,2,5,23.6,0.07,174,104,1480.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
48,content_384d9f9e00c9,client_7f2253d7e2,78.47264383824908,random_forest,0.8512519101380452,0.5954271211950113,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,11465,55,63,21.4,0.48,141,20,4019.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
49,content_66677b99e328,client_7f2253d7e2,78.47236329519211,random_forest,0.8528684742006394,0.5918982632845804,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,29616,49,48,30.1,0.17,141,20,3808.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
50,content_8db4c406edc0,client_3fdba35f04,78.4567843819261,random_forest,0.782532060565416,0.7445739042828797,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3424,9,57,5.3,0.26,131,104,1370.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
51,content_e8a21e0ca537,client_7f2253d7e2,78.4555301158794,random_forest,0.819762427357024,0.6634643211870749,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,27812,77,77,14.9,0.28,147,20,4029.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
52,content_7d6b854fc594,client_3fdba35f04,78.45433375932531,random_forest,0.8224938359351036,0.6574793573137754,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2683,0,5,22.9,0.0,148,104,1284.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
53,content_714cd092a56f,client_7f2253d7e2,78.41832148783176,random_forest,0.8292353712691267,0.6416791441964286,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,22127,70,73,17.5,0.32,224,20,4684.0,down,LOW,keyword article,commercial,181-365,0-30,3500+,good,striking
54,content_5170503893db,client_7f2253d7e2,78.41477330489568,random_forest,0.8374386311653546,0.6237058522307256,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,14891,54,49,18.0,0.36,141,20,4278.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
55,content_65a668d53c13,client_7f2253d7e2,78.37393944467208,random_forest,0.8210859863103107,0.6580441224869615,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,8305,5,8,2.9,0.06,147,20,3990.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,top_3
56,content_cbdf5a78dcd0,client_19581e27de,78.35642852122231,random_forest,0.7304189299202819,0.8549304251845238,medium,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,14830,3,4,2.4,0.02,126,104,3187.0,up,LOW,keyword article,transactional,91-180,91-180,2000-3500,good,top_3
57,content_3585f0ab30e6,client_7f2253d7e2,78.29822429755721,random_forest,0.835430055488971,0.6244540324535148,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,17237,67,67,18.8,0.39,141,20,4977.0,down,LOW,keyword article,transactional,91-180,0-30,3500+,good,striking
58,content_8021933ea0f8,client_3fdba35f04,78.29630099801301,random_forest,0.8005753404959874,0.700291694994331,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3340,3,21,15.8,0.09,124,104,1605.0,down,HIGH,keyword article,transactional,91-180,91-180,1000-2000,good,striking
59,content_6eeb07cca243,client_7f2253d7e2,78.2889922001893,random_forest,0.8461051284842621,0.6009214582380953,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24516,22,36,26.9,0.09,147,20,4107.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
60,content_12913e63df31,client_3fdba35f04,78.27328226345011,random_forest,0.8278762045264927,0.6401269462953514,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1915,1,23,18.2,0.05,174,104,1554.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,striking
61,content_875fc7912e9b,client_7f2253d7e2,78.27300641100614,random_forest,0.8196094367358667,0.6581195722301588,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,21533,102,86,14.6,0.47,224,20,3709.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
62,content_383737c5080d,client_7f2253d7e2,78.27292163693296,random_forest,0.8369242975476655,0.6204131550130385,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24252,70,89,23.0,0.29,132,20,3923.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
63,content_2db43735a69a,client_7f2253d7e2,78.26463777711984,random_forest,0.8050461412182821,0.689571383393424,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,36130,145,126,11.1,0.4,225,20,4109.0,down,LOW,keyword article,informational,181-365,0-30,3500+,excellent,striking
64,content_164dff885baf,client_7f2253d7e2,78.25780446055728,random_forest,0.8401229726610903,0.6129776555260771,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,22949,19,27,23.6,0.08,132,20,4968.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
65,content_8c6cdc6b2e1e,client_19581e27de,78.24317364583648,random_forest,0.7233298568781029,0.8668440580651927,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,15443,21,29,2.9,0.14,126,104,2548.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,top_3
66,content_673fe764797f,client_7f2253d7e2,78.19709713427399,random_forest,0.8526556945000482,0.5837987032165532,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,13672,68,70,25.7,0.5,141,20,4233.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
67,content_4a7f389bfe72,client_3fdba35f04,78.14708191050758,random_forest,0.7974559071753616,0.7024425198367347,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2266,3,6,4.8,0.13,131,104,1516.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_1
68,content_816431f05a3b,client_3fdba35f04,78.12182848936018,random_forest,0.8485269107782817,0.5904478555555555,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,1922,0,25,33.4,0.0,165,104,1495.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
69,content_ecd0b428fcae,client_3fdba35f04,78.11702297783533,random_forest,0.7989036904400382,0.6983548515538548,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2114,2,11,4.2,0.09,310,104,1395.0,down,LOW,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
70,content_d88a80933ba2,client_7f2253d7e2,78.11048623654122,random_forest,0.8203820957276754,0.6513814491337868,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,12892,107,101,10.6,0.83,225,20,4050.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
71,content_46c1b521c941,client_3fdba35f04,78.1062628198075,random_forest,0.8205456413840275,0.6508939413676305,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,4621,1,15,35.2,0.02,124,104,1522.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
72,content_558fd4b27659,client_3fdba35f04,78.0228126261598,random_forest,0.8142671465916496,0.6619696636972788,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2559,6,34,20.2,0.23,144,104,1402.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
73,content_ab82c4705992,client_7f2253d7e2,78.01616195463997,random_forest,0.8419968228222302,0.6013803325555556,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,12315,80,92,20.6,0.65,147,20,4460.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
74,content_1d533efd8c4d,client_7f2253d7e2,78.00915991685974,random_forest,0.8163089963156406,0.6570987525011338,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,18117,139,139,12.7,0.77,147,20,4301.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
75,content_4bcb30ab7531,client_7f2253d7e2,77.9796152086793,random_forest,0.811869942722157,0.6658458958367347,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,25485,133,133,13.8,0.52,147,20,4098.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
76,content_433fc1c77095,client_3fdba35f04,77.96542160351468,random_forest,0.7797023110126756,0.7354506295068026,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3177,4,12,5.0,0.13,139,104,1836.0,down,MEDIUM,keyword article,commercial,91-180,91-180,1000-2000,good,page_1
77,content_7f12daa9fcef,client_7f2253d7e2,77.96302470798982,random_forest,0.8382747962177838,0.607832212329932,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,13279,54,59,20.1,0.41,132,20,4377.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
